2021-11-16 16:04:39 INFO Benchmarking |ClosingStrategy: CloseFirst
2021-11-16 16:04:39 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2021-11-16 16:04:39 INFO Benchmarking |SUL name: GnuTLS_3.3.12_client_full.dot
2021-11-16 16:04:39 INFO Benchmarking |SUL dir: /mnt/c/Users/damas/GitHub/cttlearn/experiments/2021_11_ctt_automatawiki/./benchmarks/TLS/GnuTLS_3.3.12_client_full.dot
2021-11-16 16:04:39 INFO Benchmarking |Output dir: ./benchmarks/TLS
2021-11-16 16:04:39 INFO Benchmarking |Seed: 1637075079305
2021-11-16 16:04:39 INFO Benchmarking |Cache: N
2021-11-16 16:04:39 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=w;ExtraStates=2;}
2021-11-16 16:04:39 INFO Benchmarking |EquivalenceOracle: SouchaCTT(w,2)
2021-11-16 16:04:39 INFO Benchmarking |Method: L*M
2021-11-16 16:04:39 INFO Experiment |Starting round 1
2021-11-16 16:04:39 INFO Experiment |Learning
2021-11-16 16:04:39 INFO Experiment |Searching for counterexample
2021-11-16 16:04:39 INFO Experiment |ServerHelloRSA ServerCertificate CertificateRequest
2021-11-16 16:04:39 INFO Experiment |Starting round 2
2021-11-16 16:04:39 INFO Experiment |Learning
2021-11-16 16:04:39 INFO Experiment |Searching for counterexample
2021-11-16 16:04:41 INFO Benchmarking |Rounds: 2
2021-11-16 16:04:41 INFO Benchmarking |MQ [Resets]: 1528
2021-11-16 16:04:41 INFO Benchmarking |MQ [Symbols]: 5901
2021-11-16 16:04:41 INFO Benchmarking |EQ [Resets]: 16969
2021-11-16 16:04:41 INFO Benchmarking |EQ [Symbols]: 98316
2021-11-16 16:04:41 INFO SimpleProfiler |Learning [ms]: 15
2021-11-16 16:04:41 INFO SimpleProfiler |Searching for counterexample [ms]: 1915
2021-11-16 16:04:41 INFO Benchmarking |Qsize: 9
2021-11-16 16:04:41 INFO Benchmarking |Isize: 12
2021-11-16 16:04:41 INFO Benchmarking |Equivalent: OK
2021-11-16 16:04:41 INFO Benchmarking |Info: N/A
